  5955 SUCCESS  60   3     650     397318     611.26
  5095 SUCCESS 178   5     977     738935     756.33
  9382 SUCCESS 200   3     618     390532     631.93
  7100 SUCCESS 110   3     666     393660     591.08
  4068 SUCCESS  95   3     611     385170     630.39
  6118 SUCCESS 200   4     855     590861     691.07
  6654 SUCCESS  24   8    1505    1078930     716.90
  7628 SUCCESS 200   8    1460     956545     655.17
  1145 SUCCESS 147  13    2404    1593630     662.91
  7551 SUCCESS 171  12    2285    1528892     669.10
   741 SUCCESS  84   3     628     395592     629.92
  4507 SUCCESS  47   3     658     408146     620.28
  5987 SUCCESS 160   3     609     398895     655.00
   862 SUCCESS  57   3     624     429911     688.96
  7957 SUCCESS 132   3     585     410676     702.01
  3615 SUCCESS 185   3     631     435675     690.45
  3119 SUCCESS  18  20    3552    2524923     710.85
  3531 SUCCESS  44   3     632     398052     629.83
  6040 SUCCESS  28   3     651     372909     572.82
  1896 SUCCESS  29   3     662     372518     562.72
  2758 SUCCESS 138   3     619     399817     645.91
  5731 SUCCESS 167   4     873     535232     613.10
  6192 SUCCESS 146   5    1058     694854     656.76
   371 SUCCESS  37   5    1033     701055     678.66
  3664 SUCCESS  16  35    6075    4378132     720.68
  4068 SUCCESS  95   3     611     385158     630.37
  1145 SUCCESS 114   3     679     355172     523.08
  3713 SUCCESS 200   6    1281     890488     695.15
  5731 SUCCESS 167   4     873     535232     613.10
  9740 SUCCESS 200   7    1464     994816     679.52
  2712 SUCCESS  37   7    1457     799754     548.90
  9086 SUCCESS 153   8    1548    1119205     723.00
  7551 SUCCESS  21   9    1665    1259685     756.57
  1259 SUCCESS 100   9    1734    1275253     735.44
  5632 SUCCESS 135   9    1746    1247797     714.66
  9684 SUCCESS  87  11    1922    1273297     662.49
  9382 SUCCESS 174  11    1991    1374334     690.27
  5584 SUCCESS 143  17    3454    2732357     791.07
  9948 SUCCESS 125  31    4766    3767938     790.59
